问题名称：C07_C08
运行次数	迭代次数	个体序号	目标1值	目标2值	是否可行	
1	0	50	5.22131e+11	5.22131e+11	0
1	0	51	1.83644e+11	1.83644e+11	1
1	0	52	2.81084e+11	2.81084e+11	0
1	0	53	3.9343e+11	3.9343e+11	0
1	0	54	1.31969e+11	1.31969e+11	0
1	0	55	2.52446e+11	2.52446e+11	0
1	0	56	3.91778e+11	3.91778e+11	0
1	0	57	2.55382e+11	2.55382e+11	1
1	0	58	2.97683e+11	2.97683e+11	0
1	0	59	3.61727e+11	3.61727e+11	0
1	0	60	3.52549e+11	3.52549e+11	0
1	0	61	2.3733e+11	2.3733e+11	0
1	0	62	3.41137e+11	3.41137e+11	0
1	0	63	2.92585e+11	2.92585e+11	0
1	0	64	4.05666e+11	4.05666e+11	0
1	0	65	3.65596e+11	3.65596e+11	0
1	0	66	3.1767e+11	3.1767e+11	0
1	0	67	3.17359e+11	3.17359e+11	0
1	0	68	2.88321e+11	2.88321e+11	0
1	0	69	1.84693e+11	1.84693e+11	0
1	0	70	2.85141e+11	2.85141e+11	0
1	0	71	1.71722e+11	1.71722e+11	0
1	0	72	4.36131e+11	4.36131e+11	0
1	0	73	3.2465e+11	3.2465e+11	0
1	0	74	1.76378e+11	1.76378e+11	0
1	0	75	3.49308e+11	3.49308e+11	0
1	0	76	2.99802e+11	2.99802e+11	0
1	0	77	3.51468e+11	3.51468e+11	0
1	0	78	2.54812e+11	2.54812e+11	0
1	0	79	3.44682e+11	3.44682e+11	1
1	0	80	2.69045e+11	2.69045e+11	0
1	0	81	3.75845e+11	3.75845e+11	0
1	0	82	2.2973e+11	2.2973e+11	0
1	0	83	4.04539e+11	4.04539e+11	0
1	0	84	3.03013e+11	3.03013e+11	0
1	0	85	4.7722e+11	4.7722e+11	0
1	0	86	5.59826e+11	5.59826e+11	0
1	0	87	5.15083e+11	5.15083e+11	0
1	0	88	2.41844e+11	2.41844e+11	0
1	0	89	2.83825e+11	2.83825e+11	0
1	0	90	4.73456e+11	4.73456e+11	0
1	0	91	2.47844e+11	2.47844e+11	1
1	0	92	2.11234e+11	2.11234e+11	0
1	0	93	2.32616e+11	2.32616e+11	1
1	0	94	2.68694e+11	2.68694e+11	0
1	0	95	2.67932e+11	2.67932e+11	0
1	0	96	2.56833e+11	2.56833e+11	0
1	0	97	3.40631e+11	3.40631e+11	0
1	0	98	2.94552e+11	2.94552e+11	0
1	0	99	2.79942e+11	2.79942e+11	0
2	1	0	1.83644e+11	1.83644e+11	1
2	1	1	1.84435e+11	1.84435e+11	1
2	1	2	2.32616e+11	2.32616e+11	1
2	1	3	2.47844e+11	2.47844e+11	1
2	1	4	2.55382e+11	2.55382e+11	1
2	1	5	1.1684e+11	1.1684e+11	0
2	1	6	3.09195e+11	3.09195e+11	1
2	1	7	1.84693e+11	1.84693e+11	0
2	1	8	3.37719e+11	3.37719e+11	1
2	1	9	1.09984e+11	1.09984e+11	0
2	1	10	3.44682e+11	3.44682e+11	1
2	1	11	3.2465e+11	3.2465e+11	0
2	1	12	3.65596e+11	3.65596e+11	0
2	1	13	2.68694e+11	2.68694e+11	0
2	1	14	3.14403e+11	3.14403e+11	0
2	1	15	3.03169e+11	3.03169e+11	0
2	1	16	2.41987e+11	2.41987e+11	0
2	1	17	2.94552e+11	2.94552e+11	0
2	1	18	2.53696e+11	2.53696e+11	0
2	1	19	1.76679e+11	1.76679e+11	0
2	1	20	1.71722e+11	1.71722e+11	0
2	1	21	4.7722e+11	4.7722e+11	0
2	1	22	3.61727e+11	3.61727e+11	0
2	1	23	3.75845e+11	3.75845e+11	0
2	1	24	2.67932e+11	2.67932e+11	0
2	1	25	3.49308e+11	3.49308e+11	0
2	1	26	2.34671e+11	2.34671e+11	0
2	1	27	2.7426e+11	2.7426e+11	0
2	1	28	2.81084e+11	2.81084e+11	0
2	1	29	1.26481e+11	1.26481e+11	0
2	1	30	2.11234e+11	2.11234e+11	0
2	1	31	1.31969e+11	1.31969e+11	0
2	1	32	2.94995e+11	2.94995e+11	0
2	1	33	1.12655e+11	1.12655e+11	0
2	1	34	2.00329e+11	2.00329e+11	0
2	1	35	2.41844e+11	2.41844e+11	0
2	1	36	2.85477e+11	2.85477e+11	0
2	1	37	2.58863e+11	2.58863e+11	0
2	1	38	2.4211e+11	2.4211e+11	0
2	1	39	3.1767e+11	3.1767e+11	0
2	1	40	3.49514e+11	3.49514e+11	0
2	1	41	4.05666e+11	4.05666e+11	0
2	1	42	1.39813e+11	1.39813e+11	0
2	1	43	3.41137e+11	3.41137e+11	0
2	1	44	2.83825e+11	2.83825e+11	0
2	1	45	2.8159e+11	2.8159e+11	0
2	1	46	3.17359e+11	3.17359e+11	0
2	1	47	2.79942e+11	2.79942e+11	0
2	1	48	2.54644e+11	2.54644e+11	0
2	1	49	3.0305e+11	3.0305e+11	0
2	1	50	2.52446e+11	2.52446e+11	0
2	1	51	3.79154e+11	3.79154e+11	0
2	1	52	2.85141e+11	2.85141e+11	0
2	1	53	2.05749e+11	2.05749e+11	0
2	1	54	2.3733e+11	2.3733e+11	0
2	1	55	2.1126e+11	2.1126e+11	0
2	1	56	2.31362e+11	2.31362e+11	0
2	1	57	5.15083e+11	5.15083e+11	0
2	1	58	2.65996e+11	2.65996e+11	0
2	1	59	2.97683e+11	2.97683e+11	0
2	1	60	2.54812e+11	2.54812e+11	0
2	1	61	5.59826e+11	5.59826e+11	0
2	1	62	2.04285e+11	2.04285e+11	0
2	1	63	1.75273e+11	1.75273e+11	0
2	1	64	2.05532e+11	2.05532e+11	0
2	1	65	2.8195e+11	2.8195e+11	0
2	1	66	4.38183e+11	4.38183e+11	0
2	1	67	1.88028e+11	1.88028e+11	0
2	1	68	2.2973e+11	2.2973e+11	0
2	1	69	4.73456e+11	4.73456e+11	0
2	1	70	3.55497e+11	3.55497e+11	0
2	1	71	4.36131e+11	4.36131e+11	0
2	1	72	3.40631e+11	3.40631e+11	0
2	1	73	2.47367e+11	2.47367e+11	0
2	1	74	2.43048e+11	2.43048e+11	0
2	1	75	3.86287e+11	3.86287e+11	0
2	1	76	3.46445e+11	3.46445e+11	0
2	1	77	4.45875e+11	4.45875e+11	0
2	1	78	2.28526e+11	2.28526e+11	0
2	1	79	2.59625e+11	2.59625e+11	0
2	1	80	2.88321e+11	2.88321e+11	0
2	1	81	2.00858e+11	2.00858e+11	0
2	1	82	2.99615e+11	2.99615e+11	0
2	1	83	2.56833e+11	2.56833e+11	0
2	1	84	5.22131e+11	5.22131e+11	0
2	1	85	4.04539e+11	4.04539e+11	0
2	1	86	3.69441e+11	3.69441e+11	0
2	1	87	4.30838e+11	4.30838e+11	0
2	1	88	3.9343e+11	3.9343e+11	0
2	1	89	4.91731e+11	4.91731e+11	0
2	1	90	2.92585e+11	2.92585e+11	0
2	1	91	3.03013e+11	3.03013e+11	0
2	1	92	2.99802e+11	2.99802e+11	0
2	1	93	4.14268e+11	4.14268e+11	0
2	1	94	3.2777e+11	3.2777e+11	0
2	1	95	3.91778e+11	3.91778e+11	0
2	1	96	3.76968e+11	3.76968e+11	0
2	1	97	3.03196e+11	3.03196e+11	0
2	1	98	2.80093e+11	2.80093e+11	0
2	1	99	1.49842e+11	1.49842e+11	0
3	2	0	1.83644e+11	1.83644e+11	1
3	2	1	1.84435e+11	1.84435e+11	1
3	2	2	2.32616e+11	2.32616e+11	1
3	2	3	2.47844e+11	2.47844e+11	1
3	2	4	2.55382e+11	2.55382e+11	1
3	2	5	3.09195e+11	3.09195e+11	1
3	2	6	1.1684e+11	1.1684e+11	0
3	2	7	3.37719e+11	3.37719e+11	1
3	2	8	3.44682e+11	3.44682e+11	1
3	2	9	3.2465e+11	3.2465e+11	0
3	2	10	1.84693e+11	1.84693e+11	0
3	2	11	1.09984e+11	1.09984e+11	0
3	2	12	3.65596e+11	3.65596e+11	0
3	2	13	2.68694e+11	2.68694e+11	0
3	2	14	3.14403e+11	3.14403e+11	0
3	2	15	3.03169e+11	3.03169e+11	0
3	2	16	2.41987e+11	2.41987e+11	0
3	2	17	2.94552e+11	2.94552e+11	0
3	2	18	2.53696e+11	2.53696e+11	0
3	2	19	4.7722e+11	4.7722e+11	0
3	2	20	3.61727e+11	3.61727e+11	0
3	2	21	1.76679e+11	1.76679e+11	0
3	2	22	3.75845e+11	3.75845e+11	0
3	2	23	1.71722e+11	1.71722e+11	0
3	2	24	3.49308e+11	3.49308e+11	0
3	2	25	2.67932e+11	2.67932e+11	0
3	2	26	2.34671e+11	2.34671e+11	0
3	2	27	2.7426e+11	2.7426e+11	0
3	2	28	2.81084e+11	2.81084e+11	0
3	2	29	1.26481e+11	1.26481e+11	0
3	2	30	2.94995e+11	2.94995e+11	0
3	2	31	2.11234e+11	2.11234e+11	0
3	2	32	1.31969e+11	1.31969e+11	0
3	2	33	1.12655e+11	1.12655e+11	0
3	2	34	3.1767e+11	3.1767e+11	0
3	2	35	3.49514e+11	3.49514e+11	0
3	2	36	2.00329e+11	2.00329e+11	0
3	2	37	2.85477e+11	2.85477e+11	0
3	2	38	2.58863e+11	2.58863e+11	0
3	2	39	2.41844e+11	2.41844e+11	0
3	2	40	2.4211e+11	2.4211e+11	0
3	2	41	4.05666e+11	4.05666e+11	0
3	2	42	3.41137e+11	3.41137e+11	0
3	2	43	2.83825e+11	2.83825e+11	0
3	2	44	1.39813e+11	1.39813e+11	0
3	2	45	3.17359e+11	3.17359e+11	0
3	2	46	2.8159e+11	2.8159e+11	0
3	2	47	2.79942e+11	2.79942e+11	0
3	2	48	3.76968e+11	3.76968e+11	0
3	2	49	3.79154e+11	3.79154e+11	0
3	2	50	3.0305e+11	3.0305e+11	0
3	2	51	2.54644e+11	2.54644e+11	0
3	2	52	2.85141e+11	2.85141e+11	0
3	2	53	2.52446e+11	2.52446e+11	0
3	2	54	2.05749e+11	2.05749e+11	0
3	2	55	5.15083e+11	5.15083e+11	0
3	2	56	2.3733e+11	2.3733e+11	0
3	2	57	5.59826e+11	5.59826e+11	0
3	2	58	2.97683e+11	2.97683e+11	0
3	2	59	2.31362e+11	2.31362e+11	0
3	2	60	2.65996e+11	2.65996e+11	0
3	2	61	2.1126e+11	2.1126e+11	0
3	2	62	2.54812e+11	2.54812e+11	0
3	2	63	2.04285e+11	2.04285e+11	0
3	2	64	1.75273e+11	1.75273e+11	0
3	2	65	4.38183e+11	4.38183e+11	0
3	2	66	2.8195e+11	2.8195e+11	0
3	2	67	2.05532e+11	2.05532e+11	0
3	2	68	4.73456e+11	4.73456e+11	0
3	2	69	4.36131e+11	4.36131e+11	0
3	2	70	3.55497e+11	3.55497e+11	0
3	2	71	1.88028e+11	1.88028e+11	0
3	2	72	2.2973e+11	2.2973e+11	0
3	2	73	3.40631e+11	3.40631e+11	0
3	2	74	3.86287e+11	3.86287e+11	0
3	2	75	2.47367e+11	2.47367e+11	0
3	2	76	4.45875e+11	4.45875e+11	0
3	2	77	2.43048e+11	2.43048e+11	0
3	2	78	3.46445e+11	3.46445e+11	0
3	2	79	2.59625e+11	2.59625e+11	0
3	2	80	2.28526e+11	2.28526e+11	0
3	2	81	2.88321e+11	2.88321e+11	0
3	2	82	2.00858e+11	2.00858e+11	0
3	2	83	5.22131e+11	5.22131e+11	0
3	2	84	2.99615e+11	2.99615e+11	0
3	2	85	3.2777e+11	3.2777e+11	0
3	2	86	2.56833e+11	2.56833e+11	0
3	2	87	4.04539e+11	4.04539e+11	0
3	2	88	4.30838e+11	4.30838e+11	0
3	2	89	3.69441e+11	3.69441e+11	0
3	2	90	4.91731e+11	4.91731e+11	0
3	2	91	3.9343e+11	3.9343e+11	0
3	2	92	1.49842e+11	1.49842e+11	0
3	2	93	3.07763e+11	3.07763e+11	0
3	2	94	2.92585e+11	2.92585e+11	0
3	2	95	2.3139e+11	2.3139e+11	0
3	2	96	2.73963e+11	2.73963e+11	0
3	2	97	3.01734e+11	3.01734e+11	0
3	2	98	2.16431e+11	2.16431e+11	0
3	2	99	3.39621e+11	3.39621e+11	0
4	3	0	1.83644e+11	1.83644e+11	1
4	3	1	1.84435e+11	1.84435e+11	1
4	3	2	2.32616e+11	2.32616e+11	1
4	3	3	2.47844e+11	2.47844e+11	1
4	3	4	2.55382e+11	2.55382e+11	1
4	3	5	3.09195e+11	3.09195e+11	1
4	3	6	3.37719e+11	3.37719e+11	1
4	3	7	3.44682e+11	3.44682e+11	1
4	3	8	1.1684e+11	1.1684e+11	0
4	3	9	3.2465e+11	3.2465e+11	0
4	3	10	1.84693e+11	1.84693e+11	0
4	3	11	3.65596e+11	3.65596e+11	0
4	3	12	1.09984e+11	1.09984e+11	0
4	3	13	3.14403e+11	3.14403e+11	0
4	3	14	2.68694e+11	2.68694e+11	0
4	3	15	3.03169e+11	3.03169e+11	0
4	3	16	2.41987e+11	2.41987e+11	0
4	3	17	4.7722e+11	4.7722e+11	0
4	3	18	2.94552e+11	2.94552e+11	0
4	3	19	2.53696e+11	2.53696e+11	0
4	3	20	3.61727e+11	3.61727e+11	0
4	3	21	3.75845e+11	3.75845e+11	0
4	3	22	3.49308e+11	3.49308e+11	0
4	3	23	1.76679e+11	1.76679e+11	0
4	3	24	1.71722e+11	1.71722e+11	0
4	3	25	2.67932e+11	2.67932e+11	0
4	3	26	2.7426e+11	2.7426e+11	0
4	3	27	2.34671e+11	2.34671e+11	0
4	3	28	2.81084e+11	2.81084e+11	0
4	3	29	2.94995e+11	2.94995e+11	0
4	3	30	2.11234e+11	2.11234e+11	0
4	3	31	1.26481e+11	1.26481e+11	0
4	3	32	1.31969e+11	1.31969e+11	0
4	3	33	2.3139e+11	2.3139e+11	0
4	3	34	1.12655e+11	1.12655e+11	0
4	3	35	3.49514e+11	3.49514e+11	0
4	3	36	4.05666e+11	4.05666e+11	0
4	3	37	3.1767e+11	3.1767e+11	0
4	3	38	2.85477e+11	2.85477e+11	0
4	3	39	2.58863e+11	2.58863e+11	0
4	3	40	2.41844e+11	2.41844e+11	0
4	3	41	2.00329e+11	2.00329e+11	0
4	3	42	2.4211e+11	2.4211e+11	0
4	3	43	3.41137e+11	3.41137e+11	0
4	3	44	2.16431e+11	2.16431e+11	0
4	3	45	2.83825e+11	2.83825e+11	0
4	3	46	3.17359e+11	3.17359e+11	0
4	3	47	2.8159e+11	2.8159e+11	0
4	3	48	3.76968e+11	3.76968e+11	0
4	3	49	1.39813e+11	1.39813e+11	0
4	3	50	2.79942e+11	2.79942e+11	0
4	3	51	3.79154e+11	3.79154e+11	0
4	3	52	3.0305e+11	3.0305e+11	0
4	3	53	2.54644e+11	2.54644e+11	0
4	3	54	2.85141e+11	2.85141e+11	0
4	3	55	2.52446e+11	2.52446e+11	0
4	3	56	5.15083e+11	5.15083e+11	0
4	3	57	5.59826e+11	5.59826e+11	0
4	3	58	2.05749e+11	2.05749e+11	0
4	3	59	2.3733e+11	2.3733e+11	0
4	3	60	2.97683e+11	2.97683e+11	0
4	3	61	2.65996e+11	2.65996e+11	0
4	3	62	2.31362e+11	2.31362e+11	0
4	3	63	2.1126e+11	2.1126e+11	0
4	3	64	2.54812e+11	2.54812e+11	0
4	3	65	2.04285e+11	2.04285e+11	0
4	3	66	1.75273e+11	1.75273e+11	0
4	3	67	4.38183e+11	4.38183e+11	0
4	3	68	2.8195e+11	2.8195e+11	0
4	3	69	4.73456e+11	4.73456e+11	0
4	3	70	2.05532e+11	2.05532e+11	0
4	3	71	2.73963e+11	2.73963e+11	0
4	3	72	4.36131e+11	4.36131e+11	0
4	3	73	3.55497e+11	3.55497e+11	0
4	3	74	3.40631e+11	3.40631e+11	0
4	3	75	3.86287e+11	3.86287e+11	0
4	3	76	4.45875e+11	4.45875e+11	0
4	3	77	2.2973e+11	2.2973e+11	0
4	3	78	1.88028e+11	1.88028e+11	0
4	3	79	3.01734e+11	3.01734e+11	0
4	3	80	2.47367e+11	2.47367e+11	0
4	3	81	3.46445e+11	3.46445e+11	0
4	3	82	2.43048e+11	2.43048e+11	0
4	3	83	2.59625e+11	2.59625e+11	0
4	3	84	2.28526e+11	2.28526e+11	0
4	3	85	2.88321e+11	2.88321e+11	0
4	3	86	5.22131e+11	5.22131e+11	0
4	3	87	3.39621e+11	3.39621e+11	0
4	3	88	2.00858e+11	2.00858e+11	0
4	3	89	2.99615e+11	2.99615e+11	0
4	3	90	3.2777e+11	3.2777e+11	0
4	3	91	4.04539e+11	4.04539e+11	0
4	3	92	2.56833e+11	2.56833e+11	0
4	3	93	4.91731e+11	4.91731e+11	0
4	3	94	3.65341e+11	3.65341e+11	0
4	3	95	4.30838e+11	4.30838e+11	0
4	3	96	4.01244e+11	4.01244e+11	0
4	3	97	4.19865e+11	4.19865e+11	0
4	3	98	3.69441e+11	3.69441e+11	0
4	3	99	3.7085e+11	3.7085e+11	0
5	4	0	1.83644e+11	1.83644e+11	1
5	4	1	1.84435e+11	1.84435e+11	1
5	4	2	2.32616e+11	2.32616e+11	1
5	4	3	2.47844e+11	2.47844e+11	1
5	4	4	2.55382e+11	2.55382e+11	1
5	4	5	3.09195e+11	3.09195e+11	1
5	4	6	3.37719e+11	3.37719e+11	1
5	4	7	3.44682e+11	3.44682e+11	1
5	4	8	3.2465e+11	3.2465e+11	0
5	4	9	1.1684e+11	1.1684e+11	0
5	4	10	3.65596e+11	3.65596e+11	0
5	4	11	1.84693e+11	1.84693e+11	0
5	4	12	3.14403e+11	3.14403e+11	0
5	4	13	2.68694e+11	2.68694e+11	0
5	4	14	1.09984e+11	1.09984e+11	0
5	4	15	3.03169e+11	3.03169e+11	0
5	4	16	4.7722e+11	4.7722e+11	0
5	4	17	2.94552e+11	2.94552e+11	0
5	4	18	2.41987e+11	2.41987e+11	0
5	4	19	2.53696e+11	2.53696e+11	0
5	4	20	3.61727e+11	3.61727e+11	0
5	4	21	3.75845e+11	3.75845e+11	0
5	4	22	3.49308e+11	3.49308e+11	0
5	4	23	1.76679e+11	1.76679e+11	0
5	4	24	2.67932e+11	2.67932e+11	0
5	4	25	1.71722e+11	1.71722e+11	0
5	4	26	2.7426e+11	2.7426e+11	0
5	4	27	2.34671e+11	2.34671e+11	0
5	4	28	2.81084e+11	2.81084e+11	0
5	4	29	2.94995e+11	2.94995e+11	0
5	4	30	2.11234e+11	2.11234e+11	0
5	4	31	1.26481e+11	1.26481e+11	0
5	4	32	2.3139e+11	2.3139e+11	0
5	4	33	4.05666e+11	4.05666e+11	0
5	4	34	1.31969e+11	1.31969e+11	0
5	4	35	3.49514e+11	3.49514e+11	0
5	4	36	3.1767e+11	3.1767e+11	0
5	4	37	1.12655e+11	1.12655e+11	0
5	4	38	2.85477e+11	2.85477e+11	0
5	4	39	2.58863e+11	2.58863e+11	0
5	4	40	2.41844e+11	2.41844e+11	0
5	4	41	2.4211e+11	2.4211e+11	0
5	4	42	2.00329e+11	2.00329e+11	0
5	4	43	3.41137e+11	3.41137e+11	0
5	4	44	2.83825e+11	2.83825e+11	0
5	4	45	2.16431e+11	2.16431e+11	0
5	4	46	3.17359e+11	3.17359e+11	0
5	4	47	3.76968e+11	3.76968e+11	0
5	4	48	2.8159e+11	2.8159e+11	0
5	4	49	3.79154e+11	3.79154e+11	0
5	4	50	2.79942e+11	2.79942e+11	0
5	4	51	1.39813e+11	1.39813e+11	0
5	4	52	5.15083e+11	5.15083e+11	0
5	4	53	3.0305e+11	3.0305e+11	0
5	4	54	5.59826e+11	5.59826e+11	0
5	4	55	2.85141e+11	2.85141e+11	0
5	4	56	2.54644e+11	2.54644e+11	0
5	4	57	2.52446e+11	2.52446e+11	0
5	4	58	2.05749e+11	2.05749e+11	0
5	4	59	2.3733e+11	2.3733e+11	0
5	4	60	2.97683e+11	2.97683e+11	0
5	4	61	2.65996e+11	2.65996e+11	0
5	4	62	2.31362e+11	2.31362e+11	0
5	4	63	2.1126e+11	2.1126e+11	0
5	4	64	2.54812e+11	2.54812e+11	0
5	4	65	4.38183e+11	4.38183e+11	0
5	4	66	2.04285e+11	2.04285e+11	0
5	4	67	1.75273e+11	1.75273e+11	0
5	4	68	4.73456e+11	4.73456e+11	0
5	4	69	2.8195e+11	2.8195e+11	0
5	4	70	4.36131e+11	4.36131e+11	0
5	4	71	3.65341e+11	3.65341e+11	0
5	4	72	2.73963e+11	2.73963e+11	0
5	4	73	2.05532e+11	2.05532e+11	0
5	4	74	3.55497e+11	3.55497e+11	0
5	4	75	3.86287e+11	3.86287e+11	0
5	4	76	4.45875e+11	4.45875e+11	0
5	4	77	3.40631e+11	3.40631e+11	0
5	4	78	3.01734e+11	3.01734e+11	0
5	4	79	2.2973e+11	2.2973e+11	0
5	4	80	1.88028e+11	1.88028e+11	0
5	4	81	3.46445e+11	3.46445e+11	0
5	4	82	2.47367e+11	2.47367e+11	0
5	4	83	2.43048e+11	2.43048e+11	0
5	4	84	2.59625e+11	2.59625e+11	0
5	4	85	2.28526e+11	2.28526e+11	0
5	4	86	2.88321e+11	2.88321e+11	0
5	4	87	3.7085e+11	3.7085e+11	0
5	4	88	4.19865e+11	4.19865e+11	0
5	4	89	5.22131e+11	5.22131e+11	0
5	4	90	3.39621e+11	3.39621e+11	0
5	4	91	2.96739e+11	2.96739e+11	0
5	4	92	2.99615e+11	2.99615e+11	0
5	4	93	3.2777e+11	3.2777e+11	0
5	4	94	4.91731e+11	4.91731e+11	0
5	4	95	4.93008e+11	4.93008e+11	0
5	4	96	3.8348e+11	3.8348e+11	0
5	4	97	4.04539e+11	4.04539e+11	0
5	4	98	2.00858e+11	2.00858e+11	0
5	4	99	4.26323e+11	4.26323e+11	0
6	5	0	1.83644e+11	1.83644e+11	1
6	5	1	1.84435e+11	1.84435e+11	1
6	5	2	2.32616e+11	2.32616e+11	1
6	5	3	2.47844e+11	2.47844e+11	1
6	5	4	2.55382e+11	2.55382e+11	1
6	5	5	3.09195e+11	3.09195e+11	1
6	5	6	3.37719e+11	3.37719e+11	1
6	5	7	3.44682e+11	3.44682e+11	1
6	5	8	3.2465e+11	3.2465e+11	0
6	5	9	3.65596e+11	3.65596e+11	0
6	5	10	1.1684e+11	1.1684e+11	0
6	5	11	1.84693e+11	1.84693e+11	0
6	5	12	3.14403e+11	3.14403e+11	0
6	5	13	2.68694e+11	2.68694e+11	0
6	5	14	4.7722e+11	4.7722e+11	0
6	5	15	3.03169e+11	3.03169e+11	0
6	5	16	1.09984e+11	1.09984e+11	0
6	5	17	2.94552e+11	2.94552e+11	0
6	5	18	2.41987e+11	2.41987e+11	0
6	5	19	3.61727e+11	3.61727e+11	0
6	5	20	2.53696e+11	2.53696e+11	0
6	5	21	3.75845e+11	3.75845e+11	0
6	5	22	3.49308e+11	3.49308e+11	0
6	5	23	1.76679e+11	1.76679e+11	0
6	5	24	2.67932e+11	2.67932e+11	0
6	5	25	2.7426e+11	2.7426e+11	0
6	5	26	1.71722e+11	1.71722e+11	0
6	5	27	2.34671e+11	2.34671e+11	0
6	5	28	2.81084e+11	2.81084e+11	0
6	5	29	2.94995e+11	2.94995e+11	0
6	5	30	2.11234e+11	2.11234e+11	0
6	5	31	4.05666e+11	4.05666e+11	0
6	5	32	1.26481e+11	1.26481e+11	0
6	5	33	3.49514e+11	3.49514e+11	0
6	5	34	2.3139e+11	2.3139e+11	0
6	5	35	3.1767e+11	3.1767e+11	0
6	5	36	1.31969e+11	1.31969e+11	0
6	5	37	2.85477e+11	2.85477e+11	0
6	5	38	2.58863e+11	2.58863e+11	0
6	5	39	1.12655e+11	1.12655e+11	0
6	5	40	2.41844e+11	2.41844e+11	0
6	5	41	2.4211e+11	2.4211e+11	0
6	5	42	2.00329e+11	2.00329e+11	0
6	5	43	3.41137e+11	3.41137e+11	0
6	5	44	2.83825e+11	2.83825e+11	0
6	5	45	2.16431e+11	2.16431e+11	0
6	5	46	3.17359e+11	3.17359e+11	0
6	5	47	3.76968e+11	3.76968e+11	0
6	5	48	2.8159e+11	2.8159e+11	0
6	5	49	3.79154e+11	3.79154e+11	0
6	5	50	5.15083e+11	5.15083e+11	0
6	5	51	2.79942e+11	2.79942e+11	0
6	5	52	5.59826e+11	5.59826e+11	0
6	5	53	3.0305e+11	3.0305e+11	0
6	5	54	1.39813e+11	1.39813e+11	0
6	5	55	2.85141e+11	2.85141e+11	0
6	5	56	2.54644e+11	2.54644e+11	0
6	5	57	2.52446e+11	2.52446e+11	0
6	5	58	2.05749e+11	2.05749e+11	0
6	5	59	2.3733e+11	2.3733e+11	0
6	5	60	2.97683e+11	2.97683e+11	0
6	5	61	2.65996e+11	2.65996e+11	0
6	5	62	2.31362e+11	2.31362e+11	0
6	5	63	2.1126e+11	2.1126e+11	0
6	5	64	2.54812e+11	2.54812e+11	0
6	5	65	4.38183e+11	4.38183e+11	0
6	5	66	4.73456e+11	4.73456e+11	0
6	5	67	4.26323e+11	4.26323e+11	0
6	5	68	2.04285e+11	2.04285e+11	0
6	5	69	1.75273e+11	1.75273e+11	0
6	5	70	4.36131e+11	4.36131e+11	0
6	5	71	2.8195e+11	2.8195e+11	0
6	5	72	3.65341e+11	3.65341e+11	0
6	5	73	2.73963e+11	2.73963e+11	0
6	5	74	2.05532e+11	2.05532e+11	0
6	5	75	3.55497e+11	3.55497e+11	0
6	5	76	3.8348e+11	3.8348e+11	0
6	5	77	4.45875e+11	4.45875e+11	0
6	5	78	3.86287e+11	3.86287e+11	0
